BeginSample
	_SampleName, "Sample4.mss"
	_MethodName, "Multicycle Compression to Displacement Points.msm"
	PercentSetLoad, 0.000,  "N"
	BreakDrop, 50.0,  "%"
	BreakElongation, 2.540,  "mm"
	BreakSensitivity, 90,  "%"
	BreakThreshold, 2.224,  "N"
	CycleSavingFrequency, 1,  ""
	DataAcqRate, 10.0,  "Hz"
	EndPointBreakingAmount, 0.000,  "mm"
	Extension1, 0.000,  "mm"
	Extension2, 38.100,  "mm"
	Extension3, 44.450,  "mm"
	ExtLimitHigh, 508,  "mm"
	ExtLimitLow, -0.25,  "mm"
	GageLength, 25.557,  "mm"
	Header1, "",  ""
	Header2, "",  ""
	Header3, "",  ""
	HoldTime1, 60.000,  "s"
	HoldTime2, 0.000,  "s"
	LoadLimitHigh, 10009,  "N"
	LoadLimitLow, -4448,  "N"
	_MaxSpecimens, 999,  ""
	ModulusExt1, 30.480,  "mm"
	ModulusExt2, 45.720,  "mm"
	NumCycles, 1,  ""
	PerformPreLoad, "1 Yes",  ""
	PreLoad, 10.000,  "N"
	PreLoadSpeed, 5.000,  "mm/min"
	SampleInfo1, "",  ""
	SampleInfo2, "",  ""
	SampleInfo3, "",  ""
	SampleInfo4, "",  ""
	SampleInfo5, "",  ""
	SampleInfo6, "",  ""
	SampleInfo7, "",  ""
	SampleInfo8, "",  ""
	SampleInfo9, "",  ""
	SampleInfo10, "",  ""
	SampleID, "DensityGroup1TestSpeed1",  ""
	SaveFirstCycle, "1 Yes",  ""
	SaveLastCycle, "1 Yes",  ""
	SlackPreLoad, 4.448,  "N"
	SlopeSegLength, 20.000,  "%"
	StrainLimitHigh, 10,  "mm/mm"
	StrainLimitLow, -10,  "mm/mm"
	StressLimitHigh, 207,  "MPa"
	StressLimitLow, -207,  "MPa"
	TimeLimit, 10000,  "s"
	ZeroExtAfterPreLoad, "1 Yes",  ""
	BeginSpecimen
		Endpoint1, 0.205,  "mm"
		Endpoint2, 0.000,  "mm"
		Comment, "",  ""
		TestSpeed, 0.8,  "mm/min"
		Thickness, 12.70,  "mm"
		Width, 12.25,  "mm"
		AdjGage, 21.155,  "mm"
		Area, 155.5750,  "mm^2"
		BreakCycle, ****,  ""
		Break, ****,  ""
		LoadAtBreak, ****,  "N"
		CycleStatus, "5 of 5 Cycle(s)",  ""
		GageAdjustment, 0.615,  "mm"
		LoadCellCapacity, 10000.000,  "N"
		PeakLoadForEntireTest, 45.516,  "N"
		PreConditioningGageAdjustment, ****,  "mm"
		PreLoadStatus, "PreLoad Section",  ""
		PreTestGageAdjustment, 0.615,  "mm"
		SlackVal, 0.615,  "mm"
		TestStatus, "5 of 5 Cycle(s)",  ""
		BeginData
			1, 0.067, 79.676, 47.400, 0.533, 0.003
			1, 0.067, 79.712, 47.800, 0.533, 0.003
			1, 0.067, 79.610, 48.200, 0.532, 0.003
			1, 0.067, 79.613, 48.600, 0.532, 0.003
			1, 0.067, 79.610, 49.000, 0.532, 0.003
			1, 0.067, 79.585, 49.400, 0.532, 0.003
			1, 0.067, 79.526, 49.800, 0.532, 0.003
			1, 0.067, 79.564, 50.200, 0.532, 0.003
			1, 0.067, 79.474, 50.600, 0.531, 0.003
			1, 0.067, 79.483, 51.000, 0.531, 0.003
			1, 0.067, 79.459, 51.400, 0.531, 0.003
			1, 0.067, 79.430, 51.800, 0.531, 0.003
			1, 0.067, 79.426, 52.200, 0.531, 0.003
			1, 0.067, 79.392, 52.600, 0.531, 0.003
			1, 0.067, 79.389, 53.000, 0.531, 0.003
			1, 0.067, 79.337, 53.400, 0.530, 0.003
			1, 0.067, 79.315, 53.800, 0.530, 0.003
			1, 0.067, 79.296, 54.200, 0.530, 0.003
			1, 0.067, 79.274, 54.600, 0.530, 0.003
			1, 0.067, 79.309, 55.000, 0.530, 0.003
			1, 0.067, 79.252, 55.400, 0.530, 0.003
			1, 0.067, 79.218, 55.800, 0.530, 0.003
			1, 0.067, 79.197, 56.200, 0.530, 0.003
			1, 0.067, 79.182, 56.600, 0.529, 0.003
			1, 0.067, 79.150, 57.000, 0.529, 0.003
			1, 0.067, 79.135, 57.400, 0.529, 0.003
			1, 0.067, 79.108, 57.800, 0.529, 0.003
			1, 0.067, 79.085, 58.200, 0.529, 0.003
			1, 0.067, 79.061, 58.600, 0.529, 0.003
			1, 0.067, 79.072, 59.000, 0.529, 0.003
			1, 0.067, 79.003, 59.400, 0.528, 0.003
			1, 0.067, 79.009, 59.800, 0.528, 0.003
			1, 0.067, 79.018, 60.200, 0.528, 0.003
			1, 0.067, 78.974, 60.600, 0.528, 0.003
			1, 0.067, 78.948, 60.950, 0.528, 0.003
			1, 0.067, 79.004, 61.100, 0.528, 0.003
			1, 0.067, 79.092, 61.200, 0.529, 0.003
			1, 0.067, 79.081, 61.300, 0.529, 0.003
			1, 0.066, 78.532, 61.400, 0.525, 0.003
			1, 0.060, 70.305, 61.500, 0.470, 0.002
			1, 0.051, 56.732, 61.600, 0.379, 0.002
			1, 0.042, 43.925, 61.700, 0.294, 0.002
			1, 0.034, 33.792, 61.800, 0.226, 0.001
			1, 0.025, 24.307, 61.900, 0.163, 0.001
			1, 0.016, 16.748, 62.000, 0.112, 0.001
			1, 0.007, 9.580, 62.100, 0.064, 0.000
			1, -0.001, 4.690, 62.200, 0.031, -0.000
			1, -0.001, 4.690, 62.200, 0.031, -0.000
			1, -0.003, 3.986, 62.230, 0.027, -0.000
		EndData
	EndSpecimen
	BeginSpecimen
		Endpoint1, 0.411,  "mm"
		Endpoint2, 0.000,  "mm"
		Comment, "",  ""
		TestSpeed, 0.8,  "mm/min"
		Thickness, 12.70,  "mm"
		Width, 12.25,  "mm"
		AdjGage, 21.421,  "mm"
		Area, 155.5750,  "mm^2"
		BreakCycle, ****,  ""
		Break, ****,  ""
		LoadAtBreak, ****,  "N"
		CycleStatus, "1 of 1 Cycle(s)",  ""
		GageAdjustment, 0.881,  "mm"
		LoadCellCapacity, 10000.000,  "N"
		PeakLoadForEntireTest, 94.060,  "N"
		PreConditioningGageAdjustment, ****,  "mm"
		PreLoadStatus, "PreLoad Section",  ""
		PreTestGageAdjustment, 0.881,  "mm"
		SlackVal, 0.881,  "mm"
		TestStatus, "1 of 1 Cycle(s)",  ""
		BeginData
			CycleChannel, SlackExt, _Load, _Time, Stress, Strain
			"", "mm", "N", "s", "MPa", "mm/mm"
			1, 0.003, 10.508, 0.140, 0.068, 0.000
			1, 0.004, 10.465, 0.400, 0.067, 0.000
			1, 0.006, 10.775, 0.600, 0.069, 0.000
			1, 0.008, 11.079, 0.800, 0.071, 0.000
			1, 0.011, 11.477, 1.000, 0.074, 0.001
			1, 0.014, 11.894, 1.200, 0.076, 0.001
			1, 0.017, 12.290, 1.400, 0.079, 0.001
			1, 0.019, 12.639, 1.600, 0.081, 0.001
			1, 0.022, 12.963, 1.800, 0.083, 0.001
			1, 0.024, 13.326, 2.000, 0.086, 0.001
			1, 0.027, 13.708, 2.200, 0.088, 0.001
			1, 0.029, 14.148, 2.400, 0.091, 0.001
			1, 0.032, 14.634, 2.600, 0.094, 0.002
			1, 0.035, 14.993, 2.800, 0.096, 0.002
			1, 0.037, 15.371, 3.000, 0.099, 0.002
			1, 0.040, 15.767, 3.200, 0.101, 0.002
			1, 0.042, 16.141, 3.400, 0.104, 0.002
			1, 0.045, 16.501, 3.600, 0.106, 0.002
			1, 0.048, 17.036, 3.800, 0.110, 0.002
			1, 0.051, 17.540, 4.000, 0.113, 0.002
			1, 0.053, 17.920, 4.200, 0.115, 0.002
			1, 0.055, 18.296, 4.400, 0.118, 0.003
			1, 0.058, 18.755, 4.600, 0.121, 0.003
			1, 0.060, 19.137, 4.800, 0.123, 0.003
			1, 0.063, 19.622, 5.000, 0.126, 0.003
			1, 0.067, 20.213, 5.200, 0.130, 0.003
			1, 0.070, 20.757, 5.400, 0.133, 0.003
			1, 0.072, 21.127, 5.600, 0.136, 0.003
			1, 0.074, 21.517, 5.800, 0.138, 0.003
			1, 0.077, 21.985, 6.000, 0.141, 0.004
			1, 0.079, 22.430, 6.200, 0.144, 0.004
			1, 0.082, 22.979, 6.400, 0.148, 0.004
			1, 0.085, 23.613, 6.600, 0.152, 0.004
			1, 0.088, 24.092, 6.800, 0.155, 0.004
			1, 0.090, 24.515, 7.000, 0.158, 0.004
			1, 0.093, 24.941, 7.200, 0.160, 0.004
			1, 0.095, 25.452, 7.400, 0.164, 0.004
			1, 0.097, 25.872, 7.600, 0.166, 0.005
			1, 0.100, 26.518, 7.800, 0.170, 0.005
			1, 0.104, 27.223, 8.000, 0.175, 0.005
			1, 0.106, 27.648, 8.200, 0.178, 0.005
			1, 0.108, 28.063, 8.400, 0.180, 0.005
			1, 0.111, 28.595, 8.600, 0.184, 0.005
			1, 0.113, 29.038, 8.800, 0.187, 0.005
			1, 0.116, 29.528, 9.000, 0.190, 0.005
			1, 0.119, 30.234, 9.200, 0.194, 0.006
			1, 0.122, 30.874, 9.400, 0.198, 0.006
			1, 0.125, 31.267, 9.600, 0.201, 0.006
			1, 0.127, 31.761, 9.800, 0.204, 0.006
			1, 0.130, 32.259, 10.000, 0.207, 0.006
			1, 0.132, 32.738, 10.200, 0.210, 0.006
			1, 0.135, 33.312, 10.400, 0.214, 0.006
			1, 0.138, 34.021, 10.600, 0.219, 0.006
			1, 0.140, 34.550, 10.800, 0.222, 0.007
			1, 0.143, 35.001, 11.000, 0.225, 0.007
			1, 0.145, 35.480, 11.200, 0.228, 0.007
			1, 0.148, 36.013, 11.400, 0.231, 0.007
			1, 0.150, 36.507, 11.600, 0.235, 0.007
			1, 0.153, 37.185, 11.800, 0.239, 0.007
			1, 0.157, 37.911, 12.000, 0.244, 0.007
			1, 0.159, 38.344, 12.200, 0.246, 0.007
			1, 0.162, 38.838, 12.400, 0.250, 0.008
			1, 0.163, 39.355, 12.600, 0.253, 0.008
			1, 0.166, 39.915, 12.800, 0.257, 0.008
			1, 0.169, 40.405, 13.000, 0.260, 0.008
			1, 0.172, 41.116, 13.200, 0.264, 0.008
			1, 0.175, 41.791, 13.400, 0.269, 0.008
			1, 0.177, 42.226, 13.600, 0.271, 0.008
			1, 0.180, 42.700, 13.800, 0.274, 0.008
			1, 0.182, 43.260, 14.000, 0.278, 0.009
			1, 0.185, 43.778, 14.200, 0.281, 0.009
			1, 0.187, 44.442, 14.400, 0.286, 0.009
			1, 0.191, 45.174, 14.600, 0.290, 0.009
			1, 0.193, 45.760, 14.800, 0.294, 0.009
			1, 0.196, 46.227, 15.000, 0.297, 0.009
			1, 0.198, 46.771, 15.200, 0.301, 0.009
			1, 0.201, 47.296, 15.400, 0.304, 0.009
			1, 0.203, 47.868, 15.600, 0.308, 0.009
			1, 0.206, 48.553, 15.800, 0.312, 0.010
			1, 0.210, 49.245, 16.000, 0.317, 0.010
			1, 0.212, 49.832, 16.200, 0.320, 0.010
			1, 0.215, 50.358, 16.400, 0.324, 0.010
			1, 0.217, 50.919, 16.600, 0.327, 0.010
			1, 0.220, 51.464, 16.800, 0.331, 0.010
			1, 0.222, 52.038, 17.000, 0.334, 0.010
			1, 0.225, 52.812, 17.200, 0.339, 0.011
			1, 0.228, 53.605, 17.400, 0.345, 0.011
			1, 0.231, 54.063, 17.600, 0.348, 0.011
			1, 0.233, 54.556, 17.800, 0.351, 0.011
			1, 0.235, 55.056, 18.000, 0.354, 0.011
			1, 0.238, 55.665, 18.200, 0.358, 0.011
			1, 0.241, 56.304, 18.400, 0.362, 0.011
			1, 0.244, 57.048, 18.600, 0.367, 0.011
			1, 0.247, 57.714, 18.800, 0.371, 0.012
			1, 0.249, 58.243, 19.000, 0.374, 0.012
			1, 0.252, 58.748, 19.200, 0.378, 0.012
			1, 0.254, 59.298, 19.400, 0.381, 0.012
			1, 0.257, 59.826, 19.600, 0.385, 0.012
			1, 0.260, 60.464, 19.800, 0.389, 0.012
			1, 0.263, 61.244, 20.000, 0.394, 0.012
			1, 0.265, 61.841, 20.200, 0.397, 0.012
			1, 0.268, 62.377, 20.400, 0.401, 0.013
			1, 0.270, 62.907, 20.600, 0.404, 0.013
			1, 0.273, 63.473, 20.800, 0.408, 0.013
			1, 0.275, 63.936, 21.000, 0.411, 0.013
			1, 0.278, 64.709, 21.200, 0.416, 0.013
			1, 0.282, 65.510, 21.400, 0.421, 0.013
			1, 0.283, 65.970, 21.600, 0.424, 0.013
			1, 0.286, 66.497, 21.800, 0.427, 0.013
			1, 0.288, 67.034, 22.000, 0.431, 0.013
			1, 0.291, 67.619, 22.200, 0.435, 0.014
			1, 0.293, 68.169, 22.400, 0.438, 0.014
			1, 0.297, 68.944, 22.600, 0.443, 0.014
			1, 0.300, 69.666, 22.800, 0.448, 0.014
			1, 0.302, 70.144, 23.000, 0.451, 0.014
			1, 0.305, 70.641, 23.200, 0.454, 0.014
			1, 0.307, 71.259, 23.400, 0.458, 0.014
			1, 0.310, 71.827, 23.600, 0.462, 0.014
			1, 0.312, 72.416, 23.800, 0.465, 0.015
			1, 0.315, 73.204, 24.000, 0.471, 0.015
			1, 0.318, 73.854, 24.200, 0.475, 0.015
			1, 0.321, 74.409, 24.400, 0.478, 0.015
			1, 0.323, 74.899, 24.600, 0.481, 0.015
			1, 0.326, 75.461, 24.800, 0.485, 0.015
			1, 0.328, 75.999, 25.000, 0.489, 0.015
			1, 0.332, 76.729, 25.200, 0.493, 0.015
			1, 0.335, 77.474, 25.400, 0.498, 0.016
			1, 0.337, 77.991, 25.600, 0.501, 0.016
			1, 0.340, 78.503, 25.800, 0.505, 0.016
			1, 0.342, 79.027, 26.000, 0.508, 0.016
			1, 0.345, 79.607, 26.200, 0.512, 0.016
			1, 0.347, 80.184, 26.400, 0.515, 0.016
			1, 0.350, 80.950, 26.600, 0.520, 0.016
			1, 0.353, 81.667, 26.800, 0.525, 0.016
			1, 0.355, 82.082, 27.000, 0.528, 0.017
			1, 0.358, 82.587, 27.200, 0.531, 0.017
			1, 0.360, 83.194, 27.400, 0.535, 0.017
			1, 0.363, 83.736, 27.600, 0.538, 0.017
			1, 0.366, 84.317, 27.800, 0.542, 0.017
			1, 0.369, 85.096, 28.000, 0.547, 0.017
			1, 0.372, 85.701, 28.200, 0.551, 0.017
			1, 0.374, 86.210, 28.400, 0.554, 0.017
			1, 0.377, 86.687, 28.600, 0.557, 0.018
			1, 0.379, 87.249, 28.800, 0.561, 0.018
			1, 0.382, 87.763, 29.000, 0.564, 0.018
			1, 0.385, 88.464, 29.200, 0.569, 0.018
			1, 0.388, 89.142, 29.400, 0.573, 0.018
			1, 0.390, 89.709, 29.600, 0.577, 0.018
			1, 0.393, 90.183, 29.800, 0.580, 0.018
			1, 0.395, 90.690, 30.000, 0.583, 0.018
			1, 0.398, 91.212, 30.200, 0.586, 0.019
			1, 0.400, 91.724, 30.400, 0.590, 0.019
			1, 0.403, 92.436, 30.600, 0.594, 0.019
			1, 0.407, 93.175, 30.800, 0.599, 0.019
			1, 0.409, 93.616, 31.000, 0.602, 0.019
			1, 0.412, 94.060, 31.200, 0.605, 0.019
			1, 0.412, 94.060, 31.200, 0.605, 0.019
			1, 0.413, 93.856, 31.700, 0.603, 0.019
			1, 0.413, 93.499, 32.100, 0.601, 0.019
			1, 0.413, 93.244, 32.500, 0.599, 0.019
			1, 0.413, 92.949, 32.900, 0.597, 0.019
			1, 0.413, 92.751, 33.300, 0.596, 0.019
			1, 0.413, 92.504, 33.700, 0.595, 0.019
			1, 0.413, 92.298, 34.100, 0.593, 0.019
			1, 0.413, 92.102, 34.500, 0.592, 0.019
			1, 0.413, 91.915, 34.900, 0.591, 0.019
			1, 0.413, 91.753, 35.300, 0.590, 0.019
			1, 0.413, 91.600, 35.700, 0.589, 0.019
			1, 0.413, 91.462, 36.100, 0.588, 0.019
			1, 0.413, 91.288, 36.500, 0.587, 0.019
			1, 0.414, 91.151, 36.900, 0.586, 0.019
			1, 0.414, 91.040, 37.300, 0.585, 0.019
			1, 0.414, 90.909, 37.700, 0.584, 0.019
			1, 0.414, 90.798, 38.100, 0.584, 0.019
			1, 0.414, 90.684, 38.500, 0.583, 0.019
			1, 0.414, 90.570, 38.900, 0.582, 0.019
			1, 0.414, 90.488, 39.300, 0.582, 0.019
			1, 0.414, 90.349, 39.700, 0.581, 0.019
			1, 0.414, 90.283, 40.100, 0.580, 0.019
			1, 0.414, 90.176, 40.500, 0.580, 0.019
			1, 0.414, 90.092, 40.900, 0.579, 0.019
			1, 0.414, 89.997, 41.300, 0.578, 0.019
			1, 0.414, 89.916, 41.700, 0.578, 0.019
			1, 0.414, 89.819, 42.100, 0.577, 0.019
			1, 0.414, 89.725, 42.500, 0.577, 0.019
			1, 0.414, 89.669, 42.900, 0.576, 0.019
			1, 0.414, 89.587, 43.300, 0.576, 0.019
			1, 0.414, 89.515, 43.700, 0.575, 0.019
			1, 0.414, 89.409, 44.100, 0.575, 0.019
			1, 0.414, 89.358, 44.500, 0.574, 0.019
			1, 0.414, 89.310, 44.900, 0.574, 0.019
			1, 0.414, 89.202, 45.300, 0.573, 0.019
			1, 0.414, 89.149, 45.700, 0.573, 0.019
			1, 0.414, 89.103, 46.100, 0.573, 0.019
			1, 0.414, 89.021, 46.500, 0.572, 0.019
			1, 0.414, 88.936, 46.900, 0.572, 0.019
			1, 0.414, 88.874, 47.300, 0.571, 0.019
			1, 0.414, 88.824, 47.700, 0.571, 0.019
			1, 0.414, 88.745, 48.100, 0.570, 0.019
			1, 0.414, 88.695, 48.500, 0.570, 0.019
			1, 0.414, 88.651, 48.900, 0.570, 0.019
			1, 0.414, 88.601, 49.300, 0.570, 0.019
			1, 0.414, 88.507, 49.700, 0.569, 0.019
			1, 0.414, 88.483, 50.100, 0.569, 0.019
			1, 0.415, 88.427, 50.500, 0.568, 0.019
			1, 0.415, 88.397, 50.900, 0.568, 0.019
			1, 0.415, 88.320, 51.300, 0.568, 0.019
			1, 0.415, 88.276, 51.700, 0.567, 0.019
			1, 0.415, 88.217, 52.100, 0.567, 0.019
			1, 0.415, 88.177, 52.500, 0.567, 0.019
			1, 0.415, 88.142, 52.900, 0.567, 0.019
			1, 0.415, 88.059, 53.300, 0.566, 0.019
			1, 0.415, 88.018, 53.700, 0.566, 0.019
			1, 0.415, 87.999, 54.100, 0.566, 0.019
			1, 0.415, 87.916, 54.500, 0.565, 0.019
			1, 0.415, 87.912, 54.900, 0.565, 0.019
			1, 0.415, 87.844, 55.300, 0.565, 0.019
			1, 0.415, 87.843, 55.700, 0.565, 0.019
			1, 0.415, 87.749, 56.100, 0.564, 0.019
			1, 0.415, 87.744, 56.500, 0.564, 0.019
			1, 0.415, 87.731, 56.900, 0.564, 0.019
			1, 0.415, 87.649, 57.300, 0.563, 0.019
			1, 0.415, 87.590, 57.700, 0.563, 0.019
			1, 0.415, 87.574, 58.100, 0.563, 0.019
			1, 0.415, 87.534, 58.500, 0.563, 0.019
			1, 0.415, 87.497, 58.900, 0.562, 0.019
			1, 0.415, 87.464, 59.300, 0.562, 0.019
			1, 0.415, 87.427, 59.700, 0.562, 0.019
			1, 0.415, 87.407, 60.100, 0.562, 0.019
			1, 0.415, 87.336, 60.500, 0.561, 0.019
			1, 0.415, 87.280, 60.900, 0.561, 0.019
			1, 0.415, 87.228, 61.300, 0.561, 0.019
			1, 0.415, 87.194, 61.700, 0.560, 0.019
			1, 0.415, 87.181, 62.100, 0.560, 0.019
			1, 0.415, 87.141, 62.500, 0.560, 0.019
			1, 0.415, 87.117, 62.900, 0.560, 0.019
			1, 0.415, 87.075, 63.300, 0.560, 0.019
			1, 0.415, 87.048, 63.700, 0.560, 0.019
			1, 0.415, 87.025, 64.100, 0.559, 0.019
			1, 0.415, 86.989, 64.500, 0.559, 0.019
			1, 0.415, 86.943, 64.900, 0.559, 0.019
			1, 0.415, 86.908, 65.300, 0.559, 0.019
			1, 0.415, 86.888, 65.700, 0.558, 0.019
			1, 0.415, 86.846, 66.100, 0.558, 0.019
			1, 0.415, 86.799, 66.500, 0.558, 0.019
			1, 0.415, 86.805, 66.900, 0.558, 0.019
			1, 0.415, 86.772, 67.300, 0.558, 0.019
			1, 0.415, 86.740, 67.700, 0.558, 0.019
			1, 0.415, 86.704, 68.100, 0.557, 0.019
			1, 0.415, 86.651, 68.500, 0.557, 0.019
			1, 0.415, 86.654, 68.900, 0.557, 0.019
			1, 0.415, 86.626, 69.300, 0.557, 0.019
			1, 0.415, 86.596, 69.700, 0.557, 0.019
			1, 0.415, 86.555, 70.100, 0.556, 0.019
			1, 0.415, 86.557, 70.500, 0.556, 0.019
			1, 0.415, 86.534, 70.900, 0.556, 0.019
			1, 0.415, 86.482, 71.300, 0.556, 0.019
			1, 0.415, 86.452, 71.700, 0.556, 0.019
			1, 0.415, 86.445, 72.100, 0.556, 0.019
			1, 0.415, 86.381, 72.500, 0.555, 0.019
			1, 0.415, 86.395, 72.900, 0.555, 0.019
			1, 0.415, 86.335, 73.300, 0.555, 0.019
			1, 0.415, 86.342, 73.700, 0.555, 0.019
			1, 0.415, 86.272, 74.100, 0.555, 0.019
			1, 0.415, 86.265, 74.500, 0.554, 0.019
			1, 0.415, 86.247, 74.900, 0.554, 0.019
			1, 0.415, 86.190, 75.300, 0.554, 0.019
			1, 0.415, 86.221, 75.700, 0.554, 0.019
			1, 0.415, 86.154, 76.100, 0.554, 0.019
			1, 0.415, 86.123, 76.500, 0.554, 0.019
			1, 0.415, 86.133, 76.900, 0.554, 0.019
			1, 0.415, 86.098, 77.300, 0.553, 0.019
			1, 0.415, 86.073, 77.700, 0.553, 0.019
			1, 0.415, 86.055, 78.100, 0.553, 0.019
			1, 0.415, 86.032, 78.500, 0.553, 0.019
			1, 0.415, 86.001, 78.900, 0.553, 0.019
			1, 0.415, 85.975, 79.300, 0.553, 0.019
			1, 0.415, 85.938, 79.700, 0.552, 0.019
			1, 0.415, 85.949, 80.100, 0.552, 0.019
			1, 0.415, 85.912, 80.500, 0.552, 0.019
			1, 0.415, 85.897, 80.900, 0.552, 0.019
			1, 0.415, 85.907, 81.300, 0.552, 0.019
			1, 0.415, 85.816, 81.700, 0.552, 0.019
			1, 0.415, 85.844, 82.100, 0.552, 0.019
			1, 0.415, 85.819, 82.500, 0.552, 0.019
			1, 0.415, 85.783, 82.900, 0.551, 0.019
			1, 0.415, 85.771, 83.300, 0.551, 0.019
			1, 0.415, 85.757, 83.700, 0.551, 0.019
			1, 0.415, 85.704, 84.100, 0.551, 0.019
			1, 0.415, 85.692, 84.500, 0.551, 0.019
			1, 0.415, 85.684, 84.900, 0.551, 0.019
			1, 0.415, 85.676, 85.300, 0.551, 0.019
			1, 0.415, 85.607, 85.700, 0.550, 0.019
			1, 0.415, 85.627, 86.100, 0.550, 0.019
			1, 0.415, 85.624, 86.500, 0.550, 0.019
			1, 0.415, 85.601, 86.900, 0.550, 0.019
			1, 0.415, 85.553, 87.300, 0.550, 0.019
			1, 0.415, 85.542, 87.700, 0.550, 0.019
			1, 0.415, 85.552, 88.100, 0.550, 0.019
			1, 0.415, 85.478, 88.500, 0.549, 0.019
			1, 0.415, 85.454, 88.900, 0.549, 0.019
			1, 0.415, 85.468, 89.300, 0.549, 0.019
			1, 0.415, 85.443, 89.700, 0.549, 0.019
			1, 0.415, 85.449, 90.100, 0.549, 0.019
			1, 0.415, 85.365, 90.500, 0.549, 0.019
			1, 0.415, 85.415, 90.900, 0.549, 0.019
			1, 0.415, 85.380, 91.220, 0.549, 0.019
			1, 0.415, 85.356, 91.500, 0.549, 0.019
			1, 0.415, 85.381, 91.700, 0.549, 0.019
			1, 0.415, 85.356, 91.900, 0.549, 0.019
			1, 0.415, 85.379, 92.100, 0.549, 0.019
			1, 0.415, 85.332, 92.300, 0.548, 0.019
			1, 0.415, 85.328, 92.500, 0.548, 0.019
			1, 0.415, 85.331, 92.700, 0.548, 0.019
			1, 0.415, 85.316, 92.900, 0.548, 0.019
			1, 0.415, 85.295, 93.100, 0.548, 0.019
			1, 0.415, 85.303, 93.300, 0.548, 0.019
			1, 0.415, 85.285, 93.500, 0.548, 0.019
			1, 0.415, 85.294, 93.700, 0.548, 0.019
			1, 0.414, 85.208, 93.900, 0.548, 0.019
			1, 0.413, 85.071, 94.100, 0.547, 0.019
			1, 0.413, 84.933, 94.300, 0.546, 0.019
			1, 0.412, 84.567, 94.500, 0.544, 0.019
			1, 0.409, 83.772, 94.700, 0.538, 0.019
			1, 0.407, 82.958, 94.900, 0.533, 0.019
			1, 0.404, 82.098, 95.100, 0.528, 0.019
			1, 0.401, 81.209, 95.300, 0.522, 0.019
			1, 0.398, 80.239, 95.500, 0.516, 0.019
			1, 0.395, 79.470, 95.700, 0.511, 0.018
			1, 0.393, 78.641, 95.900, 0.505, 0.018
			1, 0.390, 77.785, 96.100, 0.500, 0.018
			1, 0.388, 77.020, 96.300, 0.495, 0.018
			1, 0.385, 76.196, 96.500, 0.490, 0.018
			1, 0.382, 75.264, 96.700, 0.484, 0.018
			1, 0.379, 74.391, 96.900, 0.478, 0.018
			1, 0.377, 73.632, 97.100, 0.473, 0.018
			1, 0.374, 72.843, 97.300, 0.468, 0.017
			1, 0.372, 72.023, 97.500, 0.463, 0.017
			1, 0.368, 71.257, 97.700, 0.458, 0.017
			1, 0.366, 70.474, 97.900, 0.453, 0.017
			1, 0.363, 69.551, 98.100, 0.447, 0.017
			1, 0.360, 68.804, 98.300, 0.442, 0.017
			1, 0.358, 68.004, 98.500, 0.437, 0.017
			1, 0.355, 67.254, 98.700, 0.432, 0.017
			1, 0.353, 66.537, 98.900, 0.428, 0.016
			1, 0.350, 65.799, 99.100, 0.423, 0.016
			1, 0.347, 64.945, 99.300, 0.417, 0.016
			1, 0.344, 64.131, 99.500, 0.412, 0.016
			1, 0.342, 63.448, 99.700, 0.408, 0.016
			1, 0.339, 62.680, 99.900, 0.403, 0.016
			1, 0.337, 61.901, 100.100, 0.398, 0.016
			1, 0.334, 61.243, 100.300, 0.394, 0.016
			1, 0.332, 60.531, 100.500, 0.389, 0.015
			1, 0.328, 59.597, 100.700, 0.383, 0.015
			1, 0.325, 58.904, 100.900, 0.379, 0.015
			1, 0.323, 58.242, 101.100, 0.374, 0.015
			1, 0.320, 57.462, 101.300, 0.369, 0.015
			1, 0.318, 56.787, 101.500, 0.365, 0.015
			1, 0.315, 56.126, 101.700, 0.361, 0.015
			1, 0.313, 55.436, 101.900, 0.356, 0.015
			1, 0.310, 54.629, 102.100, 0.351, 0.014
			1, 0.307, 53.920, 102.300, 0.347, 0.014
			1, 0.305, 53.275, 102.500, 0.342, 0.014
			1, 0.302, 52.574, 102.700, 0.338, 0.014
			1, 0.300, 51.892, 102.900, 0.334, 0.014
			1, 0.297, 51.246, 103.100, 0.329, 0.014
			1, 0.294, 50.559, 103.300, 0.325, 0.014
			1, 0.291, 49.769, 103.500, 0.320, 0.014
			1, 0.288, 49.115, 103.700, 0.316, 0.013
			1, 0.286, 48.496, 103.900, 0.312, 0.013
			1, 0.283, 47.894, 104.100, 0.308, 0.013
			1, 0.281, 47.277, 104.300, 0.304, 0.013
			1, 0.278, 46.651, 104.500, 0.300, 0.013
			1, 0.275, 45.874, 104.700, 0.295, 0.013
			1, 0.273, 45.179, 104.900, 0.290, 0.013
			1, 0.270, 44.622, 105.100, 0.287, 0.013
			1, 0.268, 43.967, 105.300, 0.283, 0.013
			1, 0.265, 43.421, 105.500, 0.279, 0.012
			1, 0.263, 42.806, 105.700, 0.275, 0.012
			1, 0.260, 42.130, 105.900, 0.271, 0.012
			1, 0.257, 41.405, 106.100, 0.266, 0.012
			1, 0.255, 40.845, 106.300, 0.263, 0.012
			1, 0.252, 40.286, 106.500, 0.259, 0.012
			1, 0.250, 39.637, 106.700, 0.255, 0.012
			1, 0.247, 39.066, 106.900, 0.251, 0.012
